,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
285,137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,40450,1,200,0.5,39900,40500,39850,62818,2527106500,919881459100,22741198,KSQ
286,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,18680,2,-450,-2.35,18160,18890,18150,349868,6479631730,916670974960,49072322,KSQ
287,214320,KR7214320004,이노션,KOSPI,,22900,1,150,0.66,23000,23050,22550,26577,608279550,916000000000,40000000,STK
288,257720,KR7257720003,실리콘투,KOSDAQ,벤처기업부,15130,1,330,2.23,14940,15500,14740,1237448,18715768970,913689110420,60389234,KSQ
289,300720,KR7300720000,한일시멘트,KOSPI,,13190,1,70,0.53,13130,13190,12930,54306,708138950,913559712600,69261540,STK
290,002840,KR7002840007,미원상사,KOSPI,,192200,2,-2400,-1.23,197800,198000,191600,2714,525648000,912950000000,4750000,STK
291,089590,KR7089590004,제주항공,KOSPI,,11300,1,120,1.07,11210,11490,11210,234917,2656960930,911243130500,80640985,STK
292,950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),12210,1,110,0.91,12320,12320,11900,59046,710073530,906900436200,74275220,KSQ
293,078130,KR7078130002,국일제지,KOSDAQ,관리종목(소속부없음),800,0,0,0.0,0,0,0,0,0,901924696800,1127405871,KSQ
294,006650,KR7006650006,대한유화,KOSPI,,138600,1,2200,1.61,136800,144000,135600,21346,2953363700,900900000000,6500000,STK
295,131290,KR7131290009,티에스이,KOSDAQ GLOBAL,우량기업부,81400,2,-1800,-2.16,82000,83200,80600,112395,9201017200,900400320600,11061429,KSQ
296,085620,KR7085620003,미래에셋생명,KOSPI,,5050,1,50,1.0,4990,5070,4950,64183,320121235,893931754450,177016189,STK
297,074600,KR7074600008,원익QnC,KOSDAQ GLOBAL,우량기업부,33650,1,1650,5.16,31700,33750,31450,299876,9816010800,884591200000,26288000,KSQ
298,225570,KR7225570001,넥슨게임즈,KOSDAQ,우량기업부,13360,2,-120,-0.89,13440,13550,13290,63758,854866300,879138367200,65803770,KSQ
299,317330,KR7317330009,덕산테코피아,KOSDAQ,우량기업부,45050,1,4200,10.28,41400,45200,41300,1153391,50905422900,876675973300,19460066,KSQ
300,114090,KR7114090004,GKL,KOSPI,,14140,2,-100,-0.7,14140,14310,13950,183122,2586897730,874639173800,61855670,STK
301,023590,KR7023590003,다우기술,KOSPI,,19450,2,-300,-1.52,19570,19740,19370,29240,570954430,872655700650,44866617,STK
